% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, further objective values of best", seed=193394, Tue Feb 27 15:18:45 2024, <python>{}</python>
1 16 0.4755787935355008 1.000049231981085 -85.95003457534814 -8.5950034575348141e+01 -75.78009551064473 -70.34403630532692   
2 32 0.4577264972945356 1.0290814680130718 -91.40260896892778 -9.1402608968927780e+01 -81.54227164750954 -72.42758885351303   
3 48 0.44422631783740874 1.0375986156825918 -93.84805579713202 -9.3848055797132020e+01 -84.85982152256847 -72.06507690308364   
4 64 0.43435422432479565 1.042336135698583 -96.30140766111575 -9.6301407661115746e+01 -89.97076973301593 -76.56552507590192   
5 80 0.4267807339660421 1.0487319462385074 -100.50030775718159 -1.0050030775718159e+02 -91.2518903461177 -77.651613337694   
6 96 0.41953787123988334 1.057617188276928 -102.99013136097844 -1.0299013136097844e+02 -92.64200376717996 -82.00738706988362   
7 112 0.41340590697836394 1.0633782796909679 -104.75937970304639 -1.0475937970304639e+02 -96.05494792658263 -84.74213342346798   
8 128 0.41192223140728934 1.0733999614938583 -110.13241195387326 -1.1013241195387326e+02 -103.25913120144082 -90.91487979739368   
9 144 0.4116951983630798 1.0799165413204646 -123.07767802552905 -1.2307767802552905e+02 -105.2992117668475 -96.86446855283509   
10 160 0.41310458591123567 1.0903643873962803 -123.07767802552905 -1.2213463654681300e+02 -110.5221093814988 -93.17047247307082   
11 176 0.4147839942580246 1.1005046772741738 -123.07767802552905 -1.2126984423431914e+02 -110.93710292244661 -103.64556641025187   
12 192 0.4179775753391184 1.1119193297188472 -123.12539655486614 -1.2312539655486614e+02 -111.25511219211447 -103.06693916041164   
13 208 0.42462087738878285 1.122093925516781 -129.8127245761951 -1.2981272457619511e+02 -113.983486734749 -107.82114173813288   
14 224 0.42826939329615255 1.137408707225996 -129.8127245761951 -1.2684171498697934e+02 -123.3573194630323 -111.23086366030756   
15 240 0.4332329872658933 1.1489383367679775 -129.8127245761951 -1.2803618602456206e+02 -119.27749060167349 -109.92316541236782   
16 256 0.43660283079068357 1.1638794576515905 -131.61525019883004 -1.3161525019883004e+02 -125.7033415896245 -112.61564649688458   
17 272 0.441384354392386 1.1775879610202087 -132.58846147203894 -1.3258846147203894e+02 -121.49812352107381 -112.98496557503151   
18 288 0.44521103914585985 1.1933250691577424 -132.58846147203894 -1.2896698246510175e+02 -119.86582810029402 -106.6033510271265   
19 304 0.4478648672750045 1.2062314032222594 -132.58846147203894 -1.2995151486783575e+02 -120.93257430334808 -111.05443542937074   
20 320 0.45350017900974865 1.2185177157587392 -145.02565103001848 -1.4502565103001848e+02 -117.19095191031198 -111.11552181803307   
21 336 0.45850194853768433 1.232535116756111 -145.02565103001848 -1.2956677821406112e+02 -121.09496767645619 -109.48742295776017   
22 352 0.4620603150721218 1.2460408823647968 -145.02565103001848 -1.2828921730600766e+02 -123.99607512714888 -118.17928023892078   
23 368 0.4598015026144929 1.2606790709139288 -145.02565103001848 -1.3610964054502352e+02 -125.09843676558033 -114.0670807836343   
